university_id,university,rank,matched_institution,match_method,status,source_url,ranking_year,official_region,official_slug
1,Universidad Argentina de la Empresa (UADE),,,verified_absent_from_official_top_1000,not_top_1000,https://www.shanghairanking.com/rankings/arwu/2026,2026,,
2,"Universidad Austral, Campus Pilar and Campus Buenos Aires",,,verified_absent_from_official_top_1000,not_top_1000,https://www.shanghairanking.com/rankings/arwu/2026,2026,,
3,"Universidad Austral, Campus Rosario",,,verified_absent_from_official_top_1000,not_top_1000,https://www.shanghairanking.com/rankings/arwu/2026,2026,,
4,Universidad Torcuato di Tella (UTDT),,,verified_absent_from_official_top_1000,not_top_1000,https://www.shanghairanking.com/rankings/arwu/2026,2026,,
5,Australian National University,101-150,The Australian National University,verified_existing_match,matched,https://www.shanghairanking.com/rankings/arwu/2026,2026,Australia,the-australian-national-university
6,Bond University,901-1000,Bond University,verified_existing_match,matched,https://www.shanghairanking.com/rankings/arwu/2026,2026,Australia,bond-university
7,Curtin University,201-300,Curtin University,verified_existing_match,matched,https://www.shanghairanking.com/rankings/arwu/2026,2026,Australia,curtin-university
8,Deakin University,201-300,Deakin University,verified_existing_match,matched,https://www.shanghairanking.com/rankings/arwu/2026,2026,Australia,deakin-university
9,Griffith University,301-400,Griffith University,verified_existing_match,matched,https://www.shanghairanking.com/rankings/arwu/2026,2026,Australia,griffith-university
10,La Trobe University,401-500,La Trobe University,verified_existing_match,matched,https://www.shanghairanking.com/rankings/arwu/2026,2026,Australia,la-trobe-university
11,Macquarie University,301-400,Macquarie University,verified_existing_match,matched,https://www.shanghairanking.com/rankings/arwu/2026,2026,Australia,macquarie-university
12,Monash University,76,Monash University,verified_existing_match,matched,https://www.shanghairanking.com/rankings/arwu/2026,2026,Australia,monash-university
13,Queensland University of Technology,301-400,Queensland University of Technology,official_name_match,matched,https://www.shanghairanking.com/rankings/arwu/2026,2026,Australia,queensland-university-of-technology
14,Swinburne University of Technology,201-300,Swinburne University of Technology,verified_existing_match,matched,https://www.shanghairanking.com/rankings/arwu/2026,2026,Australia,swinburne-university-of-technology
15,University of Melbourne,37,The University of Melbourne,verified_existing_match,matched,https://www.shanghairanking.com/rankings/arwu/2026,2026,Australia,the-university-of-melbourne
16,University of New South Wales,81,The University of New South Wales,verified_existing_match,matched,https://www.shanghairanking.com/rankings/arwu/2026,2026,Australia,the-university-of-new-south-wales
17,University of Newcastle,401-500,"The University of Newcastle, Australia",verified_existing_match,matched,https://www.shanghairanking.com/rankings/arwu/2026,2026,Australia,the-university-of-newcastle-australia
18,University of Queensland,73,The University of Queensland,verified_existing_match,matched,https://www.shanghairanking.com/rankings/arwu/2026,2026,Australia,the-university-of-queensland
19,University of Sydney,79,University of Sydney,verified_existing_match,matched,https://www.shanghairanking.com/rankings/arwu/2026,2026,Australia,university-of-sydney
20,"University of Technology, Sydney",201-300,University of Technology Sydney,verified_existing_match,matched,https://www.shanghairanking.com/rankings/arwu/2026,2026,Australia,university-of-technology-sydney
21,University of Western Australia,101-150,The University of Western Australia,verified_existing_match,matched,https://www.shanghairanking.com/rankings/arwu/2026,2026,Australia,the-university-of-western-australia
22,Leopold-Franzens-Universität Innsbruck,201-300,University of Innsbruck,verified_existing_match,matched,https://www.shanghairanking.com/rankings/arwu/2026,2026,Austria,university-of-innsbruck
23,Universität Wien,101-150,University of Vienna,verified_existing_match,matched,https://www.shanghairanking.com/rankings/arwu/2026,2026,Austria,university-of-vienna
24,Wirtschaftsuniversität Wien,,,verified_absent_from_official_top_1000,not_top_1000,https://www.shanghairanking.com/rankings/arwu/2026,2026,,
25,ICHEC - Brussels Management School,,,verified_absent_from_official_top_1000,not_top_1000,https://www.shanghairanking.com/rankings/arwu/2026,2026,,
26,KU Leuven,87,KU Leuven,verified_existing_match,matched,https://www.shanghairanking.com/rankings/arwu/2026,2026,Belgium,ku-leuven
27,Fundação Getulio Vargas (FGV-EAESP),,,verified_absent_from_official_top_1000,not_top_1000,https://www.shanghairanking.com/rankings/arwu/2026,2026,,
28,INSPER,,,verified_absent_from_official_top_1000,not_top_1000,https://www.shanghairanking.com/rankings/arwu/2026,2026,,
29,Concordia University,601-700,Concordia University,verified_existing_match,matched,https://www.shanghairanking.com/rankings/arwu/2026,2026,Canada,concordia-university
30,Dalhousie University,301-400,Dalhousie University,verified_existing_match,matched,https://www.shanghairanking.com/rankings/arwu/2026,2026,Canada,dalhousie-university
31,HEC Montréal,,,verified_absent_from_official_top_1000,not_top_1000,https://www.shanghairanking.com/rankings/arwu/2026,2026,,
32,McGill University,73,McGill University,verified_existing_match,matched,https://www.shanghairanking.com/rankings/arwu/2026,2026,Canada,mcgill-university
