university_id,year,places,status,status_label,excel_color,available,no_places,no_data
1,2026-2027,1,competitive,All places filled — competitive,#FDDB71,false,false,false
1,2025-2026,1,filled,All places filled,#50D691,false,false,false
1,2024-2025,1,available,Places available,,true,false,false
1,2023-2024,1,competitive,All places filled — competitive,#FDDB71,false,false,false
1,2022-2023,1,available,Places available,,true,false,false
2,2026-2027,4,available,Places available,,true,false,false
2,2025-2026,4,available,Places available,,true,false,false
2,2024-2025,,no_places,No places offered,,false,true,false
2,2023-2024,4,available,Places available,,true,false,false
2,2022-2023,4,available,Places available,,true,false,false
3,2026-2027,2,available,Places available,,true,false,false
3,2025-2026,2,available,Places available,,true,false,false
3,2024-2025,,no_places,No places offered,,false,true,false
3,2023-2024,2,available,Places available,,true,false,false
3,2022-2023,2,available,Places available,,true,false,false
4,2026-2027,2,competitive,All places filled — competitive,#FDDB71,false,false,false
4,2025-2026,2,filled,All places filled,#50D691,false,false,false
4,2024-2025,2,available,Places available,,true,false,false
4,2023-2024,2,available,Places available,,true,false,false
4,2022-2023,2,available,Places available,,true,false,false
5,2026-2027,6,available,Places available,,true,false,false
5,2025-2026,8,available,Places available,,true,false,false
5,2024-2025,8,available,Places available,,true,false,false
5,2023-2024,8,available,Places available,,true,false,false
5,2022-2023,2,available,Places available,,true,false,false
6,2026-2027,4,very_competitive,All places filled — very competitive,#8586C6,false,false,false
6,2025-2026,3,very_competitive,All places filled — very competitive,#8586C6,false,false,false
6,2024-2025,2,very_competitive,All places filled — very competitive,#8586C6,false,false,false
6,2023-2024,2,very_competitive,All places filled — very competitive,#8586C6,false,false,false
6,2022-2023,2,filled,All places filled,#50D691,false,false,false
7,2026-2027,,no_places,No places offered,,false,true,false
7,2025-2026,,no_places,No places offered,,false,true,false
7,2024-2025,2,filled,All places filled,#50D691,false,false,false
7,2023-2024,2,available,Places available,,true,false,false
7,2022-2023,1,available,Places available,,true,false,false
8,2026-2027,2,very_competitive,All places filled — very competitive,#8586C6,false,false,false
8,2025-2026,2,competitive,All places filled — competitive,#FDDB71,false,false,false
8,2024-2025,2,filled,All places filled,#50D691,false,false,false
8,2023-2024,1,available,Places available,,true,false,false
8,2022-2023,1,available,Places available,,true,false,false
9,2026-2027,1,competitive,All places filled — competitive,#FDDB71,false,false,false
9,2025-2026,2,competitive,All places filled — competitive,#FDDB71,false,false,false
9,2024-2025,3,competitive,All places filled — competitive,#FDDB71,false,false,false
9,2023-2024,3,competitive,All places filled — competitive,#FDDB71,false,false,false
9,2022-2023,2,available,Places available,,true,false,false
10,2026-2027,4,filled,All places filled,#50D691,false,false,false
10,2025-2026,4,available,Places available,,true,false,false
10,2024-2025,4,available,Places available,,true,false,false
10,2023-2024,2,filled,All places filled,#50D691,false,false,false
10,2022-2023,2,available,Places available,,true,false,false
11,2026-2027,4,filled,All places filled,#50D691,false,false,false
11,2025-2026,2,competitive,All places filled — competitive,#FDDB71,false,false,false
11,2024-2025,4,filled,All places filled,#50D691,false,false,false
11,2023-2024,4,competitive,All places filled — competitive,#FDDB71,false,false,false
11,2022-2023,3,available,Places available,,true,false,false
12,2026-2027,7,competitive,All places filled — competitive,#FDDB71,false,false,false
12,2025-2026,5,competitive,All places filled — competitive,#FDDB71,false,false,false
12,2024-2025,3,competitive,All places filled — competitive,#FDDB71,false,false,false
12,2023-2024,4,competitive,All places filled — competitive,#FDDB71,false,false,false
12,2022-2023,2,available,Places available,,true,false,false
13,2026-2027,4,very_competitive,All places filled — very competitive,#8586C6,false,false,false
13,2025-2026,5,competitive,All places filled — competitive,#FDDB71,false,false,false
13,2024-2025,5,competitive,All places filled — competitive,#FDDB71,false,false,false
13,2023-2024,6,competitive,All places filled — competitive,#FDDB71,false,false,false
13,2022-2023,3,available,Places available,,true,false,false
14,2026-2027,3,filled,All places filled,#50D691,false,false,false
14,2025-2026,2,available,Places available,,true,false,false
14,2024-2025,1,competitive,All places filled — competitive,#FDDB71,false,false,false
14,2023-2024,2,competitive,All places filled — competitive,#FDDB71,false,false,false
14,2022-2023,1,available,Places available,,true,false,false
15,2026-2027,6,very_competitive,All places filled — very competitive,#8586C6,false,false,false
15,2025-2026,5,very_competitive,All places filled — very competitive,#8586C6,false,false,false
15,2024-2025,5,very_competitive,All places filled — very competitive,#8586C6,false,false,false
15,2023-2024,5,very_competitive,All places filled — very competitive,#8586C6,false,false,false
15,2022-2023,2,very_competitive,All places filled — very competitive,#8586C6,false,false,false
16,2026-2027,4,very_competitive,All places filled — very competitive,#8586C6,false,false,false
16,2025-2026,4,competitive,All places filled — competitive,#FDDB71,false,false,false
16,2024-2025,4,very_competitive,All places filled — very competitive,#8586C6,false,false,false
16,2023-2024,4,competitive,All places filled — competitive,#FDDB71,false,false,false
16,2022-2023,2,competitive,All places filled — competitive,#FDDB71,false,false,false
17,2026-2027,4,filled,All places filled,#50D691,false,false,false
17,2025-2026,4,filled,All places filled,#50D691,false,false,false
17,2024-2025,4,filled,All places filled,#50D691,false,false,false
17,2023-2024,5,filled,All places filled,#50D691,false,false,false
17,2022-2023,2,filled,All places filled,#50D691,false,false,false
18,2026-2027,6,very_competitive,All places filled — very competitive,#8586C6,false,false,false
18,2025-2026,4,competitive,All places filled — competitive,#FDDB71,false,false,false
18,2024-2025,4,competitive,All places filled — competitive,#FDDB71,false,false,false
18,2023-2024,4,very_competitive,All places filled — very competitive,#8586C6,false,false,false
18,2022-2023,2,competitive,All places filled — competitive,#FDDB71,false,false,false
19,2026-2027,10,very_competitive,All places filled — very competitive,#8586C6,false,false,false
19,2025-2026,10,very_competitive,All places filled — very competitive,#8586C6,false,false,false
19,2024-2025,10,very_competitive,All places filled — very competitive,#8586C6,false,false,false
19,2023-2024,8,very_competitive,All places filled — very competitive,#8586C6,false,false,false
19,2022-2023,3,competitive,All places filled — competitive,#FDDB71,false,false,false
20,2026-2027,3,very_competitive,All places filled — very competitive,#8586C6,false,false,false
20,2025-2026,3,very_competitive,All places filled — very competitive,#8586C6,false,false,false
20,2024-2025,3,very_competitive,All places filled — very competitive,#8586C6,false,false,false
20,2023-2024,4,competitive,All places filled — competitive,#FDDB71,false,false,false
20,2022-2023,2,filled,All places filled,#50D691,false,false,false
21,2026-2027,2,filled,All places filled,#50D691,false,false,false
21,2025-2026,2,competitive,All places filled — competitive,#FDDB71,false,false,false
21,2024-2025,3,competitive,All places filled — competitive,#FDDB71,false,false,false
21,2023-2024,3,available,Places available,,true,false,false
21,2022-2023,2,available,Places available,,true,false,false
22,2026-2027,4,competitive,All places filled — competitive,#FDDB71,false,false,false
22,2025-2026,4,competitive,All places filled — competitive,#FDDB71,false,false,false
22,2024-2025,4,filled,All places filled,#50D691,false,false,false
22,2023-2024,4,filled,All places filled,#50D691,false,false,false
22,2022-2023,7,filled,All places filled,#50D691,false,false,false
23,2026-2027,1,available,Places available,,true,false,false
23,2025-2026,1,available,Places available,,true,false,false
23,2024-2025,1,available,Places available,,true,false,false
23,2023-2024,1,available,Places available,,true,false,false
23,2022-2023,1,available,Places available,,true,false,false
24,2026-2027,8,competitive,All places filled — competitive,#FDDB71,false,false,false
24,2025-2026,8,filled,All places filled,#50D691,false,false,false
24,2024-2025,8,filled,All places filled,#50D691,false,false,false
24,2023-2024,8,filled,All places filled,#50D691,false,false,false
24,2022-2023,8,competitive,All places filled — competitive,#FDDB71,false,false,false
25,2026-2027,3,filled,All places filled,#50D691,false,false,false
25,2025-2026,3,available,Places available,,true,false,false
25,2024-2025,3,filled,All places filled,#50D691,false,false,false
25,2023-2024,2,filled,All places filled,#50D691,false,false,false
25,2022-2023,2,filled,All places filled,#50D691,false,false,false
26,2026-2027,2,filled,All places filled,#50D691,false,false,false
26,2025-2026,2,available,Places available,,true,false,false
26,2024-2025,2,available,Places available,,true,false,false
26,2023-2024,2,filled,All places filled,#50D691,false,false,false
26,2022-2023,2,filled,All places filled,#50D691,false,false,false
27,2026-2027,4,filled,All places filled,#50D691,false,false,false
27,2025-2026,4,filled,All places filled,#50D691,false,false,false
27,2024-2025,6,available,Places available,,true,false,false
27,2023-2024,4,available,Places available,,true,false,false
27,2022-2023,4,filled,All places filled,#50D691,false,false,false
28,2026-2027,3,filled,All places filled,#50D691,false,false,false
28,2025-2026,,no_places,No places offered,,false,true,false
28,2024-2025,4,filled,All places filled,#50D691,false,false,false
28,2023-2024,3,filled,All places filled,#50D691,false,false,false
28,2022-2023,,no_places,No places offered,,false,true,false
29,2026-2027,6,available,Places available,,true,false,false
29,2025-2026,6,available,Places available,,true,false,false
29,2024-2025,6,available,Places available,,true,false,false
29,2023-2024,6,available,Places available,,true,false,false
29,2022-2023,6,available,Places available,,true,false,false
30,2026-2027,1,available,Places available,,true,false,false
30,2025-2026,,no_places,No places offered,,false,true,false
30,2024-2025,2,available,Places available,,true,false,false
30,2023-2024,2,available,Places available,,true,false,false
30,2022-2023,2,available,Places available,,true,false,false
31,2026-2027,8,filled,All places filled,#50D691,false,false,false
31,2025-2026,8,filled,All places filled,#50D691,false,false,false
31,2024-2025,8,filled,All places filled,#50D691,false,false,false
31,2023-2024,8,filled,All places filled,#50D691,false,false,false
31,2022-2023,8,filled,All places filled,#50D691,false,false,false
32,2026-2027,8,competitive,All places filled — competitive,#FDDB71,false,false,false
32,2025-2026,8,filled,All places filled,#50D691,false,false,false
32,2024-2025,8,available,Places available,,true,false,false
32,2023-2024,8,filled,All places filled,#50D691,false,false,false
32,2022-2023,8,filled,All places filled,#50D691,false,false,false
33,2026-2027,3,available,Places available,,true,false,false
33,2025-2026,2,available,Places available,,true,false,false
33,2024-2025,4,available,Places available,,true,false,false
33,2023-2024,6,available,Places available,,true,false,false
33,2022-2023,6,available,Places available,,true,false,false
34,2026-2027,3,available,Places available,,true,false,false
34,2025-2026,2,available,Places available,,true,false,false
34,2024-2025,3,available,Places available,,true,false,false
34,2023-2024,3,filled,All places filled,#50D691,false,false,false
34,2022-2023,2,competitive,All places filled — competitive,#FDDB71,false,false,false
35,2026-2027,6,available,Places available,,true,false,false
35,2025-2026,6,filled,All places filled,#50D691,false,false,false
35,2024-2025,6,available,Places available,,true,false,false
35,2023-2024,6,available,Places available,,true,false,false
35,2022-2023,6,filled,All places filled,#50D691,false,false,false
36,2026-2027,2,available,Places available,,true,false,false
36,2025-2026,1,available,Places available,,true,false,false
36,2024-2025,2,available,Places available,,true,false,false
36,2023-2024,2,available,Places available,,true,false,false
36,2022-2023,1,available,Places available,,true,false,false
37,2026-2027,5,available,Places available,,true,false,false
37,2025-2026,2,available,Places available,,true,false,false
37,2024-2025,2,available,Places available,,true,false,false
37,2023-2024,3,available,Places available,,true,false,false
37,2022-2023,2,filled,All places filled,#50D691,false,false,false
38,2026-2027,10,competitive,All places filled — competitive,#FDDB71,false,false,false
38,2025-2026,10,competitive,All places filled — competitive,#FDDB71,false,false,false
38,2024-2025,10,competitive,All places filled — competitive,#FDDB71,false,false,false
38,2023-2024,10,filled,All places filled,#50D691,false,false,false
38,2022-2023,10,very_competitive,All places filled — very competitive,#8586C6,false,false,false
39,2026-2027,3,available,Places available,,true,false,false
39,2025-2026,2,available,Places available,,true,false,false
39,2024-2025,4,available,Places available,,true,false,false
39,2023-2024,4,available,Places available,,true,false,false
39,2022-2023,2,very_competitive,All places filled — very competitive,#8586C6,false,false,false
40,2026-2027,2,available,Places available,,true,false,false
40,2025-2026,2,available,Places available,,true,false,false
40,2024-2025,4,available,Places available,,true,false,false
40,2023-2024,4,available,Places available,,true,false,false
40,2022-2023,4,filled,All places filled,#50D691,false,false,false
41,2026-2027,8,filled,All places filled,#50D691,false,false,false
41,2025-2026,8,filled,All places filled,#50D691,false,false,false
41,2024-2025,6,filled,All places filled,#50D691,false,false,false
41,2023-2024,4,competitive,All places filled — competitive,#FDDB71,false,false,false
41,2022-2023,3,very_competitive,All places filled — very competitive,#8586C6,false,false,false
42,2026-2027,4,filled,All places filled,#50D691,false,false,false
42,2025-2026,4,available,Places available,,true,false,false
42,2024-2025,4,available,Places available,,true,false,false
42,2023-2024,4,available,Places available,,true,false,false
42,2022-2023,4,filled,All places filled,#50D691,false,false,false
43,2026-2027,2,available,Places available,,true,false,false
43,2025-2026,2,available,Places available,,true,false,false
43,2024-2025,4,available,Places available,,true,false,false
43,2023-2024,2,available,Places available,,true,false,false
43,2022-2023,3,available,Places available,,true,false,false
44,2026-2027,4,available,Places available,,true,false,false
44,2025-2026,4,available,Places available,,true,false,false
44,2024-2025,2,available,Places available,,true,false,false
44,2023-2024,,no_places,No places offered,,false,true,false
44,2022-2023,4,available,Places available,,true,false,false
45,2026-2027,2,competitive,All places filled — competitive,#FDDB71,false,false,false
45,2025-2026,2,competitive,All places filled — competitive,#FDDB71,false,false,false
45,2024-2025,2,competitive,All places filled — competitive,#FDDB71,false,false,false
45,2023-2024,2,very_competitive,All places filled — very competitive,#8586C6,false,false,false
45,2022-2023,2,very_competitive,All places filled — very competitive,#8586C6,false,false,false
46,2026-2027,5,filled,All places filled,#50D691,false,false,false
46,2025-2026,5,filled,All places filled,#50D691,false,false,false
46,2024-2025,5,available,Places available,,true,false,false
46,2023-2024,5,competitive,All places filled — competitive,#FDDB71,false,false,false
46,2022-2023,5,filled,All places filled,#50D691,false,false,false
47,2026-2027,3,very_competitive,All places filled — very competitive,#8586C6,false,false,false
47,2025-2026,3,competitive,All places filled — competitive,#FDDB71,false,false,false
47,2024-2025,3,filled,All places filled,#50D691,false,false,false
47,2023-2024,3,available,Places available,,true,false,false
47,2022-2023,3,available,Places available,,true,false,false
48,2026-2027,2,competitive,All places filled — competitive,#FDDB71,false,false,false
48,2025-2026,2,competitive,All places filled — competitive,#FDDB71,false,false,false
48,2024-2025,2,filled,All places filled,#50D691,false,false,false
48,2023-2024,2,available,Places available,,true,false,false
48,2022-2023,3,available,Places available,,true,false,false
49,2026-2027,,no_places,No places offered,,false,true,false
49,2025-2026,2,available,Places available,,true,false,false
49,2024-2025,,no_places,No places offered,,false,true,false
49,2023-2024,,no_places,No places offered,,false,true,false
49,2022-2023,,no_places,No places offered,,false,true,false
50,2026-2027,,no_places,No places offered,,false,true,false
50,2025-2026,,no_places,No places offered,,false,true,false
50,2024-2025,,no_places,No places offered,,false,true,false
50,2023-2024,,no_places,No places offered,,false,true,false
50,2022-2023,2,available,Places available,,true,false,false
51,2026-2027,6,available,Places available,,true,false,false
51,2025-2026,6,available,Places available,,true,false,false
51,2024-2025,6,available,Places available,,true,false,false
51,2023-2024,6,available,Places available,,true,false,false
51,2022-2023,6,available,Places available,,true,false,false
52,2026-2027,3,available,Places available,,true,false,false
52,2025-2026,,no_places,No places offered,,false,true,false
52,2024-2025,,no_places,No places offered,,false,true,false
