university_id,university,city,country,sep_c,oct_c,nov_c,dec_c,sep_dec_avg_c,period,source_url,refreshed_at
1,Universidad Argentina de la Empresa (UADE),Buenos Aires,Argentina,,,,,,1991-2020,https://power.larc.nasa.gov/,
2,"Universidad Austral, Campus Pilar and Campus Buenos Aires",Buenos Aires / Pilar,Argentina,,,,,,1991-2020,https://power.larc.nasa.gov/,
3,"Universidad Austral, Campus Rosario",Rosario,Argentina,,,,,,1991-2020,https://power.larc.nasa.gov/,
4,Universidad Torcuato di Tella (UTDT),Buenos Aires,Argentina,,,,,,1991-2020,https://power.larc.nasa.gov/,
5,Australian National University,Canberra,Australia,,,,,,1991-2020,https://power.larc.nasa.gov/,
6,Bond University,Gold Coast,Australia,,,,,,1991-2020,https://power.larc.nasa.gov/,
7,Curtin University,Perth,Australia,,,,,,1991-2020,https://power.larc.nasa.gov/,
8,Deakin University,Melbourne,Australia,,,,,,1991-2020,https://power.larc.nasa.gov/,
9,Griffith University,Brisbane / Gold Coast,Australia,,,,,,1991-2020,https://power.larc.nasa.gov/,
10,La Trobe University,Melbourne,Australia,,,,,,1991-2020,https://power.larc.nasa.gov/,
11,Macquarie University,Sydney,Australia,,,,,,1991-2020,https://power.larc.nasa.gov/,
12,Monash University,Melbourne,Australia,,,,,,1991-2020,https://power.larc.nasa.gov/,
13,Queensland University of Technology,Brisbane,Australia,,,,,,1991-2020,https://power.larc.nasa.gov/,
14,Swinburne University of Technology,Melbourne,Australia,,,,,,1991-2020,https://power.larc.nasa.gov/,
15,University of Melbourne,Melbourne,Australia,,,,,,1991-2020,https://power.larc.nasa.gov/,
16,University of New South Wales,Sydney,Australia,,,,,,1991-2020,https://power.larc.nasa.gov/,
17,University of Newcastle,Newcastle,Australia,,,,,,1991-2020,https://power.larc.nasa.gov/,
18,University of Queensland,Brisbane,Australia,,,,,,1991-2020,https://power.larc.nasa.gov/,
19,University of Sydney,Sydney,Australia,,,,,,1991-2020,https://power.larc.nasa.gov/,
20,"University of Technology, Sydney",Sydney,Australia,,,,,,1991-2020,https://power.larc.nasa.gov/,
21,University of Western Australia,Perth,Australia,,,,,,1991-2020,https://power.larc.nasa.gov/,
22,Leopold-Franzens-Universität Innsbruck,Innsbruck,Austria,,,,,,1991-2020,https://power.larc.nasa.gov/,
23,Universität Wien,Vienna,Austria,,,,,,1991-2020,https://power.larc.nasa.gov/,
24,Wirtschaftsuniversität Wien,Vienna,Austria,,,,,,1991-2020,https://power.larc.nasa.gov/,
25,ICHEC - Brussels Management School,Brussels,Belgium,,,,,,1991-2020,https://power.larc.nasa.gov/,
26,KU Leuven,Leuven,Belgium,,,,,,1991-2020,https://power.larc.nasa.gov/,
27,Fundação Getulio Vargas (FGV-EAESP),São Paulo,Brazil,,,,,,1991-2020,https://power.larc.nasa.gov/,
28,INSPER,São Paulo,Brazil,,,,,,1991-2020,https://power.larc.nasa.gov/,
29,Concordia University,Montreal,Canada,,,,,,1991-2020,https://power.larc.nasa.gov/,
30,Dalhousie University,Halifax,Canada,,,,,,1991-2020,https://power.larc.nasa.gov/,
31,HEC Montréal,Montreal,Canada,,,,,,1991-2020,https://power.larc.nasa.gov/,
32,McGill University,Montreal,Canada,,,,,,1991-2020,https://power.larc.nasa.gov/,
33,Queen's University,Kingston,Canada,,,,,,1991-2020,https://power.larc.nasa.gov/,
34,Toronto Metropolitan University,Toronto,Canada,,,,,,1991-2020,https://power.larc.nasa.gov/,
35,Simon Fraser University,Burnaby,Canada,,,,,,1991-2020,https://power.larc.nasa.gov/,
36,Université Laval,Québec City,Canada,,,,,,1991-2020,https://power.larc.nasa.gov/,
37,University of Alberta,Edmonton,Canada,,,,,,1991-2020,https://power.larc.nasa.gov/,
38,University of British Columbia,Vancouver,Canada,,,,,,1991-2020,https://power.larc.nasa.gov/,
39,University of Calgary,Calgary,Canada,,,,,,1991-2020,https://power.larc.nasa.gov/,
40,University of Ottawa,Ottawa,Canada,,,,,,1991-2020,https://power.larc.nasa.gov/,
41,University of Toronto,Toronto,Canada,,,,,,1991-2020,https://power.larc.nasa.gov/,
42,University of Victoria,Victoria,Canada,,,,,,1991-2020,https://power.larc.nasa.gov/,
43,Western University,London,Canada,,,,,,1991-2020,https://power.larc.nasa.gov/,
44,Pontificia Universidad Católica de Chile,Santiago,Chile,,,,,,1991-2020,https://power.larc.nasa.gov/,
45,Universidad de Chile,Santiago,Chile,,,,,,1991-2020,https://power.larc.nasa.gov/,
46,"Universidad del Desarrollo (UDD), Campus Santiago",Santiago,Chile,,,,,,1991-2020,https://power.larc.nasa.gov/,
47,Fudan University,Shanghai,China,,,,,,1991-2020,https://power.larc.nasa.gov/,
48,Peking University,Beijing,China,,,,,,1991-2020,https://power.larc.nasa.gov/,
49,Shanghai Jiao Tong University,Shanghai,China,,,,,,1991-2020,https://power.larc.nasa.gov/,
50,Shanghai University of Finance and Economics,Shanghai,China,,,,,,1991-2020,https://power.larc.nasa.gov/,
51,"The Chinese University of Hong Kong, Campus Shenzhen (CUHKSZ)",Shenzhen,China,,,,,,1991-2020,https://power.larc.nasa.gov/,
52,Tongji University,Shanghai,China,,,,,,1991-2020,https://power.larc.nasa.gov/,
53,Tsinghua University,Beijing,China,,,,,,1991-2020,https://power.larc.nasa.gov/,
54,University of International Business and Economics (UIBE),Beijing,China,,,,,,1991-2020,https://power.larc.nasa.gov/,
55,"University of Nottingham Ningbo, China",Ningbo,China,,,,,,1991-2020,https://power.larc.nasa.gov/,
56,Universidad De Los Andes,Bogotá,Colombia,,,,,,1991-2020,https://power.larc.nasa.gov/,
57,Universidad EAFIT,Medellín,Colombia,,,,,,1991-2020,https://power.larc.nasa.gov/,
58,American University in Cairo,Cairo,Egypt,,,,,,1991-2020,https://power.larc.nasa.gov/,
59,Estonian Business School,Tallinn,Estonia,,,,,,1991-2020,https://power.larc.nasa.gov/,
60,University of the Faroe Islands,Tórshavn,Faroe Islands,,,,,,1991-2020,https://power.larc.nasa.gov/,
61,Hanken School of Economics,Helsinki,Finland,,,,,,1991-2020,https://power.larc.nasa.gov/,
62,Aalto University,Espoo,Finland,,,,,,1991-2020,https://power.larc.nasa.gov/,
63,Audencia Business School,Nantes,France,,,,,,1991-2020,https://power.larc.nasa.gov/,
64,Ecole de Management de Lyon,Lyon,France,,,,,,1991-2020,https://power.larc.nasa.gov/,
65,EDHEC Business School,Lille,France,,,,,,1991-2020,https://power.larc.nasa.gov/,
66,EDHEC Business School,Nice,France,,,,,,1991-2020,https://power.larc.nasa.gov/,
67,ESSEC Business School,Cergy,France,,,,,,1991-2020,https://power.larc.nasa.gov/,
68,Grenoble Ecole de Management,Grenoble,France,,,,,,1991-2020,https://power.larc.nasa.gov/,
69,HEC Paris,Jouy-en-Josas,France,,,,,,1991-2020,https://power.larc.nasa.gov/,
70,IÉSEG School of Management,Lille / Paris,France,,,,,,1991-2020,https://power.larc.nasa.gov/,
71,INSEEC Grande Ecole,Paris,France,,,,,,1991-2020,https://power.larc.nasa.gov/,
72,ISC Paris School of Management,Paris,France,,,,,,1991-2020,https://power.larc.nasa.gov/,
73,Kedge Business School,Bordeaux,France,,,,,,1991-2020,https://power.larc.nasa.gov/,
74,Kedge Business School,Marseille,France,,,,,,1991-2020,https://power.larc.nasa.gov/,
75,Paris School of Business,Paris,France,,,,,,1991-2020,https://power.larc.nasa.gov/,
76,Rennes School of Business,Rennes,France,,,,,,1991-2020,https://power.larc.nasa.gov/,
