country,cost_rent_index,denmark_index,percent_vs_denmark,snapshot,source_url
Argentina,30.21,54.8,-44.9,2026 Mid-Year,https://www.numbeo.com/cost-of-living/rankings_by_country_result.jsp
Australia,53.92,54.8,-1.6,2026 Mid-Year,https://www.numbeo.com/cost-of-living/rankings_by_country_result.jsp
Austria,49.28,54.8,-10.1,2026 Mid-Year,https://www.numbeo.com/cost-of-living/rankings_by_country_result.jsp
Belgium,47.17,54.8,-13.9,2026 Mid-Year,https://www.numbeo.com/cost-of-living/rankings_by_country_result.jsp
Brazil,21.89,54.8,-60.1,2026 Mid-Year,https://www.numbeo.com/cost-of-living/rankings_by_country_result.jsp
Canada,46.6,54.8,-15.0,2026 Mid-Year,https://www.numbeo.com/cost-of-living/rankings_by_country_result.jsp
Chile,25.84,54.8,-52.8,2026 Mid-Year,https://www.numbeo.com/cost-of-living/rankings_by_country_result.jsp
China,21.02,54.8,-61.6,2026 Mid-Year,https://www.numbeo.com/cost-of-living/rankings_by_country_result.jsp
Colombia,24.6,54.8,-55.1,2026 Mid-Year,https://www.numbeo.com/cost-of-living/rankings_by_country_result.jsp
Egypt,13.39,54.8,-75.6,2026 Mid-Year,https://www.numbeo.com/cost-of-living/rankings_by_country_result.jsp
Estonia,39.21,54.8,-28.4,2026 Mid-Year,https://www.numbeo.com/cost-of-living/rankings_by_country_result.jsp
Faroe Islands,,54.8,,2026 Mid-Year,https://www.numbeo.com/cost-of-living/rankings_by_country_result.jsp
Finland,46.35,54.8,-15.4,2026 Mid-Year,https://www.numbeo.com/cost-of-living/rankings_by_country_result.jsp
France,45.73,54.8,-16.6,2026 Mid-Year,https://www.numbeo.com/cost-of-living/rankings_by_country_result.jsp
Germany,46.97,54.8,-14.3,2026 Mid-Year,https://www.numbeo.com/cost-of-living/rankings_by_country_result.jsp
Greece,34.84,54.8,-36.4,2026 Mid-Year,https://www.numbeo.com/cost-of-living/rankings_by_country_result.jsp
Greenland,,54.8,,2026 Mid-Year,https://www.numbeo.com/cost-of-living/rankings_by_country_result.jsp
Hong Kong,68.48,54.8,25.0,2026 Mid-Year,https://www.numbeo.com/cost-of-living/rankings_by_country_result.jsp
Iceland,74.81,54.8,36.5,2026 Mid-Year,https://www.numbeo.com/cost-of-living/rankings_by_country_result.jsp
Indonesia,16.97,54.8,-69.0,2026 Mid-Year,https://www.numbeo.com/cost-of-living/rankings_by_country_result.jsp
Ireland,57.39,54.8,4.7,2026 Mid-Year,https://www.numbeo.com/cost-of-living/rankings_by_country_result.jsp
Israel,64.78,54.8,18.2,2026 Mid-Year,https://www.numbeo.com/cost-of-living/rankings_by_country_result.jsp
Italy,41.9,54.8,-23.5,2026 Mid-Year,https://www.numbeo.com/cost-of-living/rankings_by_country_result.jsp
Japan,32.09,54.8,-41.4,2026 Mid-Year,https://www.numbeo.com/cost-of-living/rankings_by_country_result.jsp
Lithuania,33.53,54.8,-38.8,2026 Mid-Year,https://www.numbeo.com/cost-of-living/rankings_by_country_result.jsp
Malaysia,22.36,54.8,-59.2,2026 Mid-Year,https://www.numbeo.com/cost-of-living/rankings_by_country_result.jsp
Mexico,31.9,54.8,-41.8,2026 Mid-Year,https://www.numbeo.com/cost-of-living/rankings_by_country_result.jsp
Morocco,20.41,54.8,-62.8,2026 Mid-Year,https://www.numbeo.com/cost-of-living/rankings_by_country_result.jsp
Netherlands,56.02,54.8,2.2,2026 Mid-Year,https://www.numbeo.com/cost-of-living/rankings_by_country_result.jsp
New Zealand,43.94,54.8,-19.8,2026 Mid-Year,https://www.numbeo.com/cost-of-living/rankings_by_country_result.jsp
Norway,59.29,54.8,8.2,2026 Mid-Year,https://www.numbeo.com/cost-of-living/rankings_by_country_result.jsp
Peru,22.14,54.8,-59.6,2026 Mid-Year,https://www.numbeo.com/cost-of-living/rankings_by_country_result.jsp
Poland,32.59,54.8,-40.5,2026 Mid-Year,https://www.numbeo.com/cost-of-living/rankings_by_country_result.jsp
Portugal,37.14,54.8,-32.2,2026 Mid-Year,https://www.numbeo.com/cost-of-living/rankings_by_country_result.jsp
Singapore,80.54,54.8,47.0,2026 Mid-Year,https://www.numbeo.com/cost-of-living/rankings_by_country_result.jsp
Slovenia,37.23,54.8,-32.1,2026 Mid-Year,https://www.numbeo.com/cost-of-living/rankings_by_country_result.jsp
South Korea,36.96,54.8,-32.6,2026 Mid-Year,https://www.numbeo.com/cost-of-living/rankings_by_country_result.jsp
Spain,38.08,54.8,-30.5,2026 Mid-Year,https://www.numbeo.com/cost-of-living/rankings_by_country_result.jsp
Sweden,44.74,54.8,-18.4,2026 Mid-Year,https://www.numbeo.com/cost-of-living/rankings_by_country_result.jsp
Switzerland,81.52,54.8,48.8,2026 Mid-Year,https://www.numbeo.com/cost-of-living/rankings_by_country_result.jsp
Taiwan,32.58,54.8,-40.5,2026 Mid-Year,https://www.numbeo.com/cost-of-living/rankings_by_country_result.jsp
Thailand,25.82,54.8,-52.9,2026 Mid-Year,https://www.numbeo.com/cost-of-living/rankings_by_country_result.jsp
Turkey,27.44,54.8,-49.9,2026 Mid-Year,https://www.numbeo.com/cost-of-living/rankings_by_country_result.jsp
United Kingdom,50.76,54.8,-7.4,2026 Mid-Year,https://www.numbeo.com/cost-of-living/rankings_by_country_result.jsp
United States,54.81,54.8,0.0,2026 Mid-Year,https://www.numbeo.com/cost-of-living/rankings_by_country_result.jsp
Uruguay,35.9,54.8,-34.5,2026 Mid-Year,https://www.numbeo.com/cost-of-living/rankings_by_country_result.jsp
