id,university,lookup_name,school,country,level,latest_places,available_last2
1,Universidad Argentina de la Empresa (UADE),Universidad Argentina de la Empresa (UADE),Regular,Argentina,UG,1,false
2,"Universidad Austral, Campus Pilar and Campus Buenos Aires","Universidad Austral, Campus Pilar and Campus Buenos Aires",Regular,Argentina,UG,4,true
3,"Universidad Austral, Campus Rosario","Universidad Austral, Campus Rosario",Regular,Argentina,UG,2,true
4,Universidad Torcuato di Tella (UTDT),Universidad Torcuato di Tella (UTDT),Regular,Argentina,UG,2,false
5,Australian National University,Australian National University,College of Business and Economics,Australia,UG,6,true
6,Bond University,Bond University,Regular,Australia,UG,4,false
7,Curtin University,Curtin University,Curtin Business School,Australia,UG,0,false
8,Deakin University,Deakin University,Regular,Australia,UG,2,false
9,Griffith University,Griffith University,Regular,Australia,UG,1,false
10,La Trobe University,La Trobe University,Regular,Australia,UG,4,false
11,Macquarie University,Macquarie University,Regular,Australia,UG,4,false
12,Monash University,Monash University,Faculty of Business and Economics,Australia,UG,7,false
13,Queensland University of Technology,Queensland University of Technology,QUT Business School,Australia,UG,4,false
14,Swinburne University of Technology,Swinburne University of Technology,Regular,Australia,UG,3,false
15,University of Melbourne,University of Melbourne,Faculty of Business and Economics,Australia,UG,6,false
16,University of New South Wales,University of New South Wales,Regular,Australia,UG,4,false
17,University of Newcastle,University of Newcastle,Faculty of Business and Law and Faculty of Education and Arts,Australia,UG,4,false
18,University of Queensland,University of Queensland,Regular,Australia,UG,6,false
19,University of Sydney,University of Sydney,USYD Business School and Faculty of Arts and Social Sciences,Australia,UG,10,false
20,"University of Technology, Sydney","University of Technology, Sydney",Regular,Australia,UG,3,false
21,University of Western Australia,University of Western Australia,Regular,Australia,UG,2,false
22,Leopold-Franzens-Universität Innsbruck,Leopold-Franzens-Universität Innsbruck,Faculty of Business and Management,Austria,UG,4,false
23,Universität Wien,Universität Wien,Fakultät für Wirtschaftswissenschaften,Austria,UG,1,true
24,Wirtschaftsuniversität Wien,Wirtschaftsuniversität Wien,Regular,Austria,UG,8,false
25,ICHEC - Brussels Management School,ICHEC - Brussels Management School,Regular,Belgium,UG,3,false
26,KU Leuven,KU Leuven,Faculty of Economics and Business,Belgium,UG,2,false
27,Fundação Getulio Vargas (FGV-EAESP),Fundação Getulio Vargas (FGV-EAESP),Escola de Administração de Empresas de São Paulo,Brazil,UG,4,false
28,INSPER,INSPER,Instituto de Ensino e Pesquisa / Faculty of Business Administration,Brazil,UG,3,false
29,Concordia University,Concordia University,Molson School of Business,Canada,UG,6,true
30,Dalhousie University,Dalhousie University,School of Business Administration,Canada,UG,1,false
31,HEC Montréal,HEC Montréal,Regular,Canada,UG,8,false
32,McGill University,McGill University,Desautels Faculty of Management,Canada,UG,8,false
33,Queen's University,Queen's University,Smith School of Business,Canada,UG,3,true
