university_id,university,country,founded_year,age_2026,roots_year,history_note,official_website,source_url,source_type,verification_status
1,Universidad Argentina de la Empresa (UADE),Argentina,1963,63,1957.0,Current institution dates to 1963; institutional roots date to 1957.,https://uade.edu.ar/,https://uade.edu.ar/acerca-de-uade/historia/,Official university website,verified_official
2,"Universidad Austral, Campus Pilar and Campus Buenos Aires",Argentina,1991,35,,Founded in 1991.,http://austral.edu.ar/international/,https://paywall.austral.edu.ar/quienes_somos/,Official university website,verified_official
3,"Universidad Austral, Campus Rosario",Argentina,1991,35,,Founded in 1991.,http://austral.edu.ar/international/,https://paywall.austral.edu.ar/quienes_somos/,Official university website,verified_official
4,Universidad Torcuato di Tella (UTDT),Argentina,1991,35,,Founded in 1991.,http://utdt.edu/ver_contenido.php?id_contenido=1392&id_item_menu=2537,https://cbs.adv-pub.moveon4.de/partner-universities/?core_id=4&relation_id=9&openwhichtab=relations&hide_elements=true&whichtab=all,CBS MoveON university profile,verified_cbs
5,Australian National University,Australia,1946,80,,Founded in 1946.,https://www.anu.edu.au/,https://www.anu.edu.au/about/our-history,Official university website,verified_official
6,Bond University,Australia,1987,39,,Founded in 1987.,http://www.bond.edu.au/about-bond/index.htm,https://bond.edu.au/our-university/our-history,Official university website,verified_official
7,Curtin University,Australia,1966,60,1900.0,Current institution dates to 1966; institutional roots date to 1900.,http://handbooks.uwa.edu.au/units/unitdetails?code=HUMA2901,https://www.curtin.edu.au/about/history-facts/history/,Official university website,verified_official
8,Deakin University,Australia,1974,52,,Founded in 1974.,http://www.deakin.edu.au/future-students/international/study-abroad/sa-at-deakin/,https://www.deakin.edu.au/about-deakin/why-deakin/history,Official university website,verified_official
9,Griffith University,Australia,1971,55,,Founded in 1971.,https://www148.griffith.edu.au/programs-courses/,https://griffitharchive.griffith.edu.au/assets/displaypdf/206,Official university archive,verified_official
10,La Trobe University,Australia,1964,62,,Founded in 1964.,http://latrobe.edu.au/wildlife,https://www.latrobe.edu.au/about/at-a-glance/history,Official university website,verified_official
11,Macquarie University,Australia,1964,62,,Founded in 1964.,http://handbook.mq.edu.au/,https://www.mq.edu.au/about/about-the-university/mq-story/history,Official university website,verified_official
12,Monash University,Australia,1958,68,,Founded in 1958.,http://monash.edu.au/pubs/handbooks/,https://www.monash.edu/about/who/history,Official university website,verified_official
13,Queensland University of Technology,Australia,1989,37,1849.0,Current institution dates to 1989; institutional roots date to 1849.,https://www.qut.edu.au/study/applying/study-abroad-and-exchange/what-can-i-study,https://www.qut.edu.au/about/our-university/history,Official university website,verified_official
14,Swinburne University of Technology,Australia,1908,118,,Founded in 1908.,http://www.international.swinburne.edu.au/study-abroad/incoming/details/index.html,https://www.swinburne.edu.au/about/our-university/our-history,Official university website,verified_official
15,University of Melbourne,Australia,1853,173,,Founded in 1853.,https://handbook.unimelb.edu.au/,https://about.unimelb.edu.au/our-history,Official university website,verified_official
16,University of New South Wales,Australia,1949,77,,Founded in 1949.,http://www.handbook.unsw.edu.au/areaofinterest/2018/areaofinterest.html,https://www.unsw.edu.au/about-us/our-story/history,Official university website,verified_official
17,University of Newcastle,Australia,1965,61,1951.0,Current institution dates to 1965; institutional roots date to 1951.,http://www.newcastle.edu.au/students/study-abroad/ilead/,https://www.newcastle.edu.au/our-uni/history,Official university website,verified_official
18,University of Queensland,Australia,1910,116,,Founded in 1910.,http://www.uq.edu.au/study,https://about.uq.edu.au/profile-rankings/history,Official university website,verified_official
19,University of Sydney,Australia,1850,176,,Founded in 1850.,https://goo.gl/s0ylme,https://www.sydney.edu.au/about-us/our-story/our-history.html,Official university website,verified_official
20,"University of Technology, Sydney",Australia,1988,38,1963.0,Current institution dates to 1988; institutional roots date to 1963.,http://www.moveonnet.eu/directory/institution/infos_for_students?id=AUSYDNEY05,https://www.uts.edu.au/about/why-uts,Official university website,verified_official
21,University of Western Australia,Australia,1911,115,,Founded in 1911.,http://handbooks.uwa.edu.au/units/unitdetails?code=HUMA2901,https://www.uwa.edu.au/about/Our-history,Official university website,verified_official
22,Leopold-Franzens-Universität Innsbruck,Austria,1669,357,,Founded in 1669.,https://www.uibk.ac.at/,https://www.uibk.ac.at/en/about-us/profile/history/,Official university website,verified_official
23,Universität Wien,Austria,1365,661,,Founded in 1365.,https://geschichte.univie.ac.at/,https://geschichte.univie.ac.at/en/node/30360,Official university website,verified_official
24,Wirtschaftsuniversität Wien,Austria,1898,128,,Founded in 1898.,https://www.wu.ac.at/,https://www.wu.ac.at/en/the-university/about-wu/history,Official university website,verified_official
25,ICHEC - Brussels Management School,Belgium,1954,72,,Founded in 1954.,https://www.ichec.be/en/incoming-students,https://www.ichec.be/en/masters-degree-management-sciences-english-track,Official university website,verified_official
26,KU Leuven,Belgium,1425,601,,Founded in 1425.,https://www.ichec.be/en/incoming-students,https://www.kuleuven.be/english/about-kuleuven/history,Official university website,verified_official
27,Fundação Getulio Vargas (FGV-EAESP),Brazil,1954,72,,Founded in 1954.,http://www10.fgv.br/incoming/information,https://cbs.adv-pub.moveon4.de/partner-universities/?core_id=33&relation_id=59&openwhichtab=relations&hide_elements=true&whichtab=all,CBS MoveON university profile,verified_cbs
28,INSPER,Brazil,1987,39,,Founded in 1987.,http://www.insper.edu.br/en/,https://www.insper.edu.br/pt/noticias/2022/10/faq--tudo-o-que-voce-precisa-saber-sobre-o-insper,Official university website,verified_official
29,Concordia University,Canada,1974,52,,Founded in 1974.,,https://cbs.adv-pub.moveon4.de/partner-universities/?core_id=641&relation_id=593&openwhichtab=relations&hide_elements=true&whichtab=all,CBS MoveON university profile,verified_cbs
30,Dalhousie University,Canada,1818,208,,Founded in 1818.,https://www.dal.ca/,https://www.dal.ca/about/our-story/history.html,Official university website,verified_official
31,HEC Montréal,Canada,1907,119,,Founded in 1907.,https://prezi.com/view/YPQ2ug0iYEKhqI4atHPH/,https://www.hec.ca/en/about/our-history,Official university website,verified_official
32,McGill University,Canada,1821,205,,Founded in 1821.,,https://cbs.adv-pub.moveon4.de/partner-universities/?core_id=45&relation_id=69&openwhichtab=relations&hide_elements=true&whichtab=all,CBS MoveON university profile,verified_cbs
33,Queen's University,Canada,1841,185,,Founded in 1841.,,https://cbs.adv-pub.moveon4.de/partner-universities/?core_id=42&relation_id=71&openwhichtab=relations&hide_elements=true&whichtab=all,CBS MoveON university profile,verified_cbs
34,Toronto Metropolitan University,Canada,1948,78,1948.0,Founded in 1948.,https://www.ryerson.ca/ri/visitors/incoming-exchange-students/acad-exchange-info-sheet/,https://www.torontomu.ca/about/history/,Official university website,verified_official
35,Simon Fraser University,Canada,1965,61,,Founded in 1965.,http:/http://www.sfu.ca/students/exchange.html,https://cbs.adv-pub.moveon4.de/partner-universities/?core_id=43&relation_id=76&openwhichtab=relations&hide_elements=true&whichtab=all,CBS MoveON university profile,verified_cbs
36,Université Laval,Canada,1852,174,,Founded in 1852.,https://www.ulaval.ca/,https://www.ulaval.ca/notre-universite/origine-et-histoire,Official university website,verified_official
37,University of Alberta,Canada,1908,118,,Founded in 1908; the university was created by provincial legislation in 1906 and opened in 1908.,https://www.ualberta.ca/,https://www.ualberta.ca/en/toolkit/communications/overview.html,Official university website,verified_official
38,University of British Columbia,Canada,1908,118,,Founded in 1908.,,https://cbs.adv-pub.moveon4.de/partner-universities/?core_id=38&relation_id=80&openwhichtab=relations&hide_elements=true&whichtab=all,CBS MoveON university profile,verified_cbs
39,University of Calgary,Canada,1966,60,,Established as an independent university in 1966.,https://www.ucalgary.ca/,https://www.ucalgary.ca/legal-services/university-legal-services/confirmation-legal-entity-status,Official university website,verified_official
40,University of Ottawa,Canada,1848,178,,Founded in 1848.,https://www.uottawa.ca/,https://www.uottawa.ca/about-us/administration-services/information-archives-management-service/history-uottawa,Official university website,verified_official
41,University of Toronto,Canada,1827,199,,Founded in 1827.,https://www.rotman.utoronto.ca/Connect/RotmanAdvantage/VirtualTour,https://cbs.adv-pub.moveon4.de/partner-universities/?core_id=385&relation_id=569&openwhichtab=relations&hide_elements=true&whichtab=all,CBS MoveON university profile,verified_cbs
42,University of Victoria,Canada,1963,63,1903.0,Current institution dates to 1963; institutional roots date to 1903.,https://www.uvic.ca/,https://www.uvic.ca/about-uvic/about-the-university/,Official university website,verified_official
43,Western University,Canada,1878,148,,Founded in 1878.,https://www.uwo.ca/,https://www.uwo.ca/about/whoweare/history.html,Official university website,verified_official
44,Pontificia Universidad Católica de Chile,Chile,1888,138,,Founded in 1888.,http://relacionesinternacionales.uc.cl/en/,https://doctorados.uc.cl/nosotros/sobre-la-uc/,Official university website,verified_official
45,Universidad de Chile,Chile,1842,184,,Founded in 1842.,http://nexointernacional.fen.uchile.cl/courses-at-fen/,https://uchile.cl/presentacion/senado-universitario/proceso-de-modificaciones-al-estatuto-vigente/estatuto/historia-del-estatuto-vigente,Official university website,verified_official
46,"Universidad del Desarrollo (UDD), Campus Santiago",Chile,1990,36,,Founded in 1990.,http://www.udd.cl/relaciones-internacionales/international/international-students/exchange-semesters/course-catalogue/,https://www.udd.cl/historia-de-la-universidad/,Official university website,verified_official
47,Fudan University,China,1905,121,,Founded in 1905.,http://xk.fudan.edu.cn/xk/index.jsp,https://fudan.edu.cn/en/About/main.psp,Official university website,verified_official
48,Peking University,China,1898,128,,Founded in 1898.,http://en.gsm.pku.edu.cn/exchange/Incoming_Exchange/Academics.htm,https://english.pku.edu.cn/about.html,Official university website,verified_official
49,Shanghai Jiao Tong University,China,1896,130,,Founded in 1896.,http://www.acem.sjtu.edu.cn/en/ung/download.html,https://en.sjtu.edu.cn/about-us/our-history/history,Official university website,verified_official
50,Shanghai University of Finance and Economics,China,1917,109,,Founded in 1917.,http://geec.uibe.edu.cn/ywsy/academics/index.htm,https://english.sufe.edu.cn/Introduction/,Official university website,verified_official
51,"The Chinese University of Hong Kong, Campus Shenzhen (CUHKSZ)",China,2014,12,,Founded in 2014.,https://www.cuhk.edu.hk/,https://www.cuhk.edu.hk/english/aboutus/cuhk-shenzhen.html,Official university website,verified_official
52,Tongji University,China,1907,119,,Founded in 1907.,http://geec.uibe.edu.cn/ywsy/academics/index.htm,https://sem.tongji.edu.cn/semen/overview/lifesem/general-information,Official university website,verified_official
53,Tsinghua University,China,1911,115,,Founded in 1911.,http://ug.sem.tsinghua.edu.cn/en/undergraduate/cur/general.html,https://www.tsinghua.edu.cn/en/About/History.htm,Official university website,verified_official
54,University of International Business and Economics (UIBE),China,1951,75,,Founded in 1951.,http://geec.uibe.edu.cn/ywsy/academics/index.htm,https://cbs.adv-pub.moveon4.de/partner-universities/?core_id=664&relation_id=646&openwhichtab=relations&hide_elements=true&whichtab=all,CBS MoveON university profile,verified_cbs
55,"University of Nottingham Ningbo, China",China,2004,22,,Founded in 2004.,https://live-china-uon.cloud.contensis.com/en/global/exchange-and-study-abroad/inbound.aspx,https://www.nottingham.edu.cn/en/about/who-we-are.aspx,Official university website,verified_official
56,Universidad De Los Andes,Colombia,1948,78,,Founded in 1948.,https://administracion.uniandes.edu.co/index.php/en/,https://cbs.adv-pub.moveon4.de/partner-universities/?core_id=684&relation_id=691&openwhichtab=relations&hide_elements=true&whichtab=all,CBS MoveON university profile,verified_cbs
57,Universidad EAFIT,Colombia,1960,66,,Founded in 1960.,http://www.eafit.edu.co/international/eng/Paginas/eng.aspx,https://www.eafit.edu.co/institucional/historia/55-anos,Official university website,verified_official
58,American University in Cairo,Egypt,1919,107,,Founded in 1919.,https://catalog.aucegypt.edu/index.php?catoid=36,https://cbs.adv-pub.moveon4.de/partner-universities/?core_id=716&relation_id=1520&openwhichtab=relations&hide_elements=true&whichtab=all,CBS MoveON university profile,verified_cbs
59,Estonian Business School,Estonia,1988,38,,Founded in 1988.,https://ebs.ee/en/international/incoming-students,https://cbs.adv-pub.moveon4.de/partner-universities/?core_id=70&relation_id=108&openwhichtab=relations&hide_elements=true&whichtab=all,CBS MoveON university profile,verified_cbs
60,University of the Faroe Islands,Faroe Islands,1965,61,,Founded in 1965.,https://www.setur.fo/,https://www.setur.fo/en/the-university/history,Official university website,verified_official
61,Hanken School of Economics,Finland,1909,117,,Founded in 1909.,https://www.hanken.fi/en/about/hanken/accreditations-and-rankings,https://www.hanken.fi/sites/default/files/2023-09/research_assessment_and_development_review_0.pdf,Official university publication,verified_official
62,Aalto University,Finland,2010,16,1849.0,Current institution dates to 2010; institutional roots date to 1849.,https://www.aalto.fi/,https://www.aalto.fi/en/aalto-university/history,Official university website,verified_official
63,Audencia Business School,France,1900,126,,Founded in 1900.,https://apply.exchangestudents.audencia.com/index.cfm?FuseAction=PublicDocuments.View&File_ID=64308,https://cbs.adv-pub.moveon4.de/partner-universities/?core_id=784&relation_id=1612&openwhichtab=relations&hide_elements=true&whichtab=all,CBS MoveON university profile,verified_cbs
64,Ecole de Management de Lyon,France,1872,154,,Founded in 1872.,https://em-lyon.com/en/about-emlyon-business-school/campuses-and-learning-environments/gerland-campus,https://cbs.adv-pub.moveon4.de/partner-universities/?core_id=95&relation_id=1518&openwhichtab=relations&hide_elements=true&whichtab=all,CBS MoveON university profile,verified_cbs
65,EDHEC Business School,France,1906,120,,Founded in 1906.,,https://cbs.adv-pub.moveon4.de/partner-universities/?core_id=101&relation_id=51&openwhichtab=relations&hide_elements=true&whichtab=all,CBS MoveON university profile,verified_cbs
66,EDHEC Business School,France,1906,120,,Founded in 1906.,,https://cbs.adv-pub.moveon4.de/partner-universities/?core_id=101&relation_id=51&openwhichtab=relations&hide_elements=true&whichtab=all,CBS MoveON university profile,verified_cbs
67,ESSEC Business School,France,1907,119,,Founded in 1907.,https://sites.google.com/essec.edu/bbaincomingexchange/menu/academics/course-offer,https://cbs.adv-pub.moveon4.de/partner-universities/?core_id=107&relation_id=128&openwhichtab=relations&hide_elements=true&whichtab=all,CBS MoveON university profile,verified_cbs
68,Grenoble Ecole de Management,France,1984,42,,Founded in 1984.,https://em-lyon.com/en/about-emlyon-business-school/campuses-and-learning-environments/gerland-campus,https://www.grenoble-em.com/en/discover-gem/key-figures/,Official university website,verified_official
69,HEC Paris,France,1881,145,,Founded in 1881.,,https://cbs.adv-pub.moveon4.de/partner-universities/?core_id=103&relation_id=1481&openwhichtab=relations&hide_elements=true&whichtab=all,CBS MoveON university profile,verified_cbs
70,IÉSEG School of Management,France,1964,62,,Founded in 1964.,https://www.psbedu.paris/en/programs/exchange-program,https://www.ieseg.fr/en/the-school/about-ieseg/ieseg-governance/,Official university website,verified_official
71,INSEEC Grande Ecole,France,1975,51,,Founded in 1975.,https://www.inseec.com/,https://www.inseec.com/en/about-us/,Official university website,verified_official
72,ISC Paris School of Management,France,1963,63,,Founded in 1963.,https://www.canva.com/design/DAGkD1qyPGQ/5-F6iZ9gO0RqNRbAHloVWw/edit,https://www.iscparis.com/en/about-isc-paris/,Official university website,verified_official
73,Kedge Business School,France,2013,13,1872.0,Current institution dates to 2013; institutional roots date to 1872.,https://www.flickr.com/photos/kedgebs/sets/,https://student.kedge.edu/about-kedge/kedge-group/kedge-history,Official university website,verified_official
74,Kedge Business School,France,2013,13,1872.0,Current institution dates to 2013; institutional roots date to 1872.,https://www.flickr.com/photos/kedgebs/sets/,https://student.kedge.edu/about-kedge/kedge-group/kedge-history,Official university website,verified_official
75,Paris School of Business,France,1974,52,,Founded in 1974.,https://www.psbedu.paris/en/programs/exchange-program,https://cbs.adv-pub.moveon4.de/partner-universities/?core_id=110&relation_id=133&openwhichtab=relations&hide_elements=true&whichtab=all,CBS MoveON university profile,verified_cbs
76,Rennes School of Business,France,1990,36,,Founded in 1990.,https://www.esc-rennes.fr/index.php/fr/international-students/student-exchange,https://www.rennes-sb.com/key-dates-and-figures/,Official university website,verified_official
77,Sciences Po (Institut d'Etudes Politiques de Paris),France,1872,154,,Founded in 1872.,https://www.psbedu.paris/en/programs/exchange-program,https://www.sciencespo.fr/en/about/history/,Official university website,verified_official
78,Sciences Po (Institut d'Etudes Politiques de Paris),France,1872,154,,Founded in 1872.,https://www.esc-rennes.fr/index.php/fr/international-students/student-exchange,https://www.sciencespo.fr/en/about/history/,Official university website,verified_official
79,Toulouse Business School,France,1903,123,,Founded in 1903.,https://www.tbs-education.com/,https://www.tbs-education.com/about-tbs/overview/history/,Official university website,verified_official
80,Université Catholique de Lyon,France,1875,151,,Founded in 1875.,https://tsm-education.fr/en/international/academic-mobility/incoming,https://www.ucly.fr/l-ucly/linstitution/notre-histoire/,Official university website,verified_official
81,Université de Strasbourg,France,1621,405,1538.0,Current institution dates to 1621; institutional roots date to 1538.,http://intranet.em-strasbourg.eu/views/list_cours_visitants.php,https://international-welcome.unistra.fr/life-in-strasbourg/history-of-the-university-of-strasbourg/,Official university website,verified_official
82,Université Paris Dauphine,France,1968,58,,Founded in 1968.,https://dauphine.psl.eu/,https://dauphine.psl.eu/en/dauphine/about-dauphine/history/50th-anniversary-celebration,Official university website,verified_official
83,Université Toulouse Capitole,France,1229,797,,Founded in 1229.,https://tsm-education.fr/en/international/academic-mobility/incoming,https://www.ut-capitole.fr/accueil/universite/presentation/histoire-1,Official university website,verified_official
84,Frankfurt School of Finance and Management,Germany,1957,69,,Founded in 1957.,http://www.frankfurt-school.de/home/about/international-office.html,https://www.frankfurt-school.de/en/about,Official university website,verified_official
85,Freie Universität Berlin,Germany,1948,78,,Founded in 1948.,https://www.fu-berlin.de/,https://www.fu-berlin.de/en/universitaet/geschichte/index.html,Official university website,verified_official
86,Humboldt-Universität zu Berlin,Germany,1810,216,,Teaching began in 1810; the University of Berlin was established in the preceding year.,https://www.hu-berlin.de/en,https://www2.hu-berlin.de/architekturen-der-wissenschaft/english.html,Official university website,verified_official
87,Johann Wolfgang Goethe Universität,Germany,1914,112,,Founded in 1914.,https://www.uni-frankfurt.de/,https://www.uni-frankfurt.de/en/ueber-die-universitaet/geschichte,Official university website,verified_official
88,Ludwig-Maximilians-Universität München,Germany,1472,554,,Founded in 1472.,,https://www.lmu.de/en/about-lmu/lmu-at-a-glance/history/,Official university website,verified_official
89,Technische Universität München,Germany,1868,158,,Founded in 1868.,,https://www.tum.de/en/about-tum/facts-and-figures/history,Official university website,verified_official
90,Universität Hamburg,Germany,1919,107,,Founded in 1919.,,https://www.uni-hamburg.de/en/uhh/profil/geschichte.html,Official university website,verified_official
91,Universität Mannheim,Germany,1907,119,,Founded in 1907.,https://www.uni-mannheim.de/campusrundgang/,https://www.uni-mannheim.de/en/about/profile/history/,Official university website,verified_official
92,Universität zu Köln,Germany,1388,638,,Founded in 1388.,http://www.international.wiso.uni-koeln.de/de/incoming-students/semester-exchange/nomination-info-for-coordinators/,https://cbs.adv-pub.moveon4.de/partner-universities/?core_id=131&relation_id=1384&openwhichtab=relations&hide_elements=true&whichtab=all,CBS MoveON university profile,verified_cbs
93,Universität Münster,Germany,1780,246,,Founded in 1780.,,https://www.uni-muenster.de/profil/en/geschichte.html,Official university website,verified_official
94,WHU,Germany,1984,42,,Founded in 1984.,https://www.whu.edu/programs/student-life/online-course-guide/,https://www.whu.edu/en/about-whu/history-of-whu/,Official university website,verified_official
95,Zeppelin University,Germany,2003,23,,Founded in 2003.,,https://www.zeppelin-university.com/university/history/20030601-founding.php,Official university website,verified_official
96,Athens University of Economics & Business - AUEB,Greece,1920,106,,Founded in 1920.,https://www.aueb.gr/en/erasmus/mobility/content/erasmus-program-information,https://www.aueb.gr/en/content/aueb-100,Official university website,verified_official
97,Greenland University,Greenland,1989,37,1987,Ilisimatusarfik received formal university status on 1 September 1989; the name Ilisimatusarfik and its Ny Herrnhut premises date to 1987.,https://uk.uni.gl/,https://www.uni.gl/media/1189015/profilmagasin-english.pdf,Official university publication,verified_official
98,City University of Hong Kong (CityU),Hong Kong,1984,42,,Founded in 1984.,https://www.cityu.edu.hk/,https://www.cityu.edu.hk/en/media/news/2004/02/24/happy-20th-birthday-cityu,Official university website,verified_official
99,Hong Kong Baptist University,Hong Kong,1956,70,,Founded in 1956 as Hong Kong Baptist College; university status and the current name followed later.,https://www.hkbu.edu.hk/,https://www.hkbu.edu.hk/en/about.html,Official university website,verified_official
100,The Chinese University of Hong Kong (CUHK),Hong Kong,1963,63,,Founded in 1963.,https://www.cuhk.edu.hk/,https://www.cuhk.edu.hk/english/aboutus/message.html,Official university website,verified_official
101,The Hong Kong Polytechnic University,Hong Kong,1937,89,,Founded in 1937.,https://www.polyu.edu.hk/geo/exchange-and-study-abroad/incoming-students/,https://cbs.adv-pub.moveon4.de/partner-universities/?core_id=58&relation_id=204&openwhichtab=relations&hide_elements=true&whichtab=all,CBS MoveON university profile,verified_cbs
102,The Hong Kong University of Science and Technology (HKUST),Hong Kong,1991,35,,Officially opened in 1991.,https://hkust.edu.hk/,https://30a.ust.hk/index.php/our-30-years/milestones,Official university website,verified_official
103,The University of Hong Kong (HKU),Hong Kong,1911,115,,Founded in 1911.,http://www.fbe.hku.hk/Programme/Undergraduate/courses_offered.cfm?school=SoB,https://cbs.adv-pub.moveon4.de/partner-universities/?core_id=659&relation_id=631&openwhichtab=relations&hide_elements=true&whichtab=all,CBS MoveON university profile,verified_cbs
104,Reykjavik University,Iceland,1998,28,,The institution began operating in 1998; the Reykjavik University name was adopted later.,https://www.ru.is/,https://www.ru.is/en/about-ru/history,Official university website,verified_official
105,University of Iceland,Iceland,1911,115,,Founded on 17 June 1911.,https://english.hi.is/,https://english.hi.is/about-ui/university-community/history,Official university website,verified_official
106,Universitas Gadjah Mada,Indonesia,1949,77,,Founded in 1949.,https://oia.feb.ugm.ac.id/incoming-exchange-great/,https://cbs.adv-pub.moveon4.de/partner-universities/?core_id=681&relation_id=681&openwhichtab=relations&hide_elements=true&whichtab=all,CBS MoveON university profile,verified_cbs
107,University College Cork,Ireland,1845,181,,Established in 1845.,https://www.ucc.ie/,https://www.ucc.ie/en/discover/history/,Official university website,verified_official
108,University College Dublin,Ireland,1854,172,,Founded in 1854.,https://www.ucd.ie/,https://alumni.ucd.ie/magazine/2025/a-letter-from-ucds-president-2025/,Official university website,verified_official
