id,university,country,city,continent,latitude,longitude,location_source
1,Universidad Argentina de la Empresa (UADE),Argentina,Buenos Aires,South America,-34.617122,-58.381734,CBS MoveON snapshot 2026-09-21
2,"Universidad Austral, Campus Pilar and Campus Buenos Aires",Argentina,Buenos Aires / Pilar,South America,-34.62406,-58.366989,CBS MoveON snapshot 2026-09-21
3,"Universidad Austral, Campus Rosario",Argentina,Rosario,South America,-32.9442,-60.6505,manual campus/city fallback
4,Universidad Torcuato di Tella (UTDT),Argentina,Buenos Aires,South America,-34.611781,-58.417309,CBS MoveON snapshot 2026-09-21
5,Australian National University,Australia,Canberra,Oceania,-35.27637,149.120489,CBS MoveON snapshot 2026-09-21
6,Bond University,Australia,Gold Coast,Oceania,-28.075709,153.414682,CBS MoveON snapshot 2026-09-21
7,Curtin University,Australia,Perth,Oceania,,,
8,Deakin University,Australia,Melbourne,Oceania,-37.814251,144.963169,CBS MoveON snapshot 2026-09-21
9,Griffith University,Australia,Brisbane / Gold Coast,Oceania,-27.554516,153.050977,CBS MoveON snapshot 2026-09-21
10,La Trobe University,Australia,Melbourne,Oceania,-37.721328,145.047012,CBS MoveON snapshot 2026-09-21
11,Macquarie University,Australia,Sydney,Oceania,-33.774322,151.111988,CBS MoveON snapshot 2026-09-21
12,Monash University,Australia,Melbourne,Oceania,-37.910546,145.134935,CBS MoveON snapshot 2026-09-21
13,Queensland University of Technology,Australia,Brisbane,Oceania,-27.664696,153.148226,CBS MoveON snapshot 2026-09-21
14,Swinburne University of Technology,Australia,Melbourne,Oceania,-37.814251,144.963169,CBS MoveON snapshot 2026-09-21
15,University of Melbourne,Australia,Melbourne,Oceania,-37.796152,144.961352,CBS MoveON snapshot 2026-09-21
16,University of New South Wales,Australia,Sydney,Oceania,-33.917547,151.231055,CBS MoveON snapshot 2026-09-21
17,University of Newcastle,Australia,Newcastle,Oceania,-32.926357,151.78122,CBS MoveON snapshot 2026-09-21
18,University of Queensland,Australia,Brisbane,Oceania,-27.475595,153.028074,CBS MoveON snapshot 2026-09-21
19,University of Sydney,Australia,Sydney,Oceania,-33.887926,151.186923,CBS MoveON snapshot 2026-09-21
20,"University of Technology, Sydney",Australia,Sydney,Oceania,-33.884026,151.201551,CBS MoveON snapshot 2026-09-21
21,University of Western Australia,Australia,Perth,Oceania,-31.975924,115.81721,CBS MoveON snapshot 2026-09-21
22,Leopold-Franzens-Universität Innsbruck,Austria,Innsbruck,Europe,47.263162,11.384368,CBS MoveON snapshot 2026-09-21
23,Universität Wien,Austria,Vienna,Europe,48.213,16.36062,CBS MoveON snapshot 2026-09-21
24,Wirtschaftsuniversität Wien,Austria,Vienna,Europe,48.230944,16.357985,CBS MoveON snapshot 2026-09-21
25,ICHEC - Brussels Management School,Belgium,Brussels,Europe,50.827897,4.456244,CBS MoveON snapshot 2026-09-21
26,KU Leuven,Belgium,Leuven,Europe,50.877955,4.700259,CBS MoveON snapshot 2026-09-21
27,Fundação Getulio Vargas (FGV-EAESP),Brazil,São Paulo,South America,-23.548943,-46.638818,CBS MoveON snapshot 2026-09-21
28,INSPER,Brazil,São Paulo,South America,-23.548943,-46.638818,CBS MoveON snapshot 2026-09-21
29,Concordia University,Canada,Montreal,North America,45.477378,-73.608568,CBS MoveON snapshot 2026-09-21
30,Dalhousie University,Canada,Halifax,North America,,,
31,HEC Montréal,Canada,Montreal,North America,45.545447,-73.639076,CBS MoveON snapshot 2026-09-21
32,McGill University,Canada,Montreal,North America,45.506933,-73.578758,CBS MoveON snapshot 2026-09-21
33,Queen's University,Canada,Kingston,North America,44.226212,-76.494223,CBS MoveON snapshot 2026-09-21
34,Toronto Metropolitan University,Canada,Toronto,North America,43.658671,-79.379497,CBS MoveON snapshot 2026-09-21
35,Simon Fraser University,Canada,Burnaby,North America,49.278752,-122.917086,CBS MoveON snapshot 2026-09-21
36,Université Laval,Canada,Québec City,North America,46.812754,-71.215223,CBS MoveON snapshot 2026-09-21
37,University of Alberta,Canada,Edmonton,North America,53.524965,-113.521219,CBS MoveON snapshot 2026-09-21
38,University of British Columbia,Canada,Vancouver,North America,49.266457,-123.245717,CBS MoveON snapshot 2026-09-21
39,University of Calgary,Canada,Calgary,North America,51.076963,-114.130079,CBS MoveON snapshot 2026-09-21
40,University of Ottawa,Canada,Ottawa,North America,45.422997,-75.683462,CBS MoveON snapshot 2026-09-21
41,University of Toronto,Canada,Toronto,North America,43.786404,-79.463085,CBS MoveON snapshot 2026-09-21
42,University of Victoria,Canada,Victoria,North America,48.463332,-123.312731,CBS MoveON snapshot 2026-09-21
43,Western University,Canada,London,North America,43.007121,-81.276076,CBS MoveON snapshot 2026-09-21
44,Pontificia Universidad Católica de Chile,Chile,Santiago,South America,-33.42536,-70.566466,CBS MoveON snapshot 2026-09-21
45,Universidad de Chile,Chile,Santiago,South America,-33.397783,-70.656263,CBS MoveON snapshot 2026-09-21
46,"Universidad del Desarrollo (UDD), Campus Santiago",Chile,Santiago,South America,-36.814815,-73.029257,CBS MoveON snapshot 2026-09-21
47,Fudan University,China,Shanghai,Asia,31.224353,121.475916,CBS MoveON snapshot 2026-09-21
48,Peking University,China,Beijing,Asia,39.908173,116.397947,CBS MoveON snapshot 2026-09-21
49,Shanghai Jiao Tong University,China,Shanghai,Asia,31.224353,121.475916,CBS MoveON snapshot 2026-09-21
50,Shanghai University of Finance and Economics,China,Shanghai,Asia,,,
51,"The Chinese University of Hong Kong, Campus Shenzhen (CUHKSZ)",China,Shenzhen,Asia,22.5431,114.0579,manual campus/city fallback
52,Tongji University,China,Shanghai,Asia,31.224353,121.475916,CBS MoveON snapshot 2026-09-21
53,Tsinghua University,China,Beijing,Asia,39.908173,116.397947,CBS MoveON snapshot 2026-09-21
54,University of International Business and Economics (UIBE),China,Beijing,Asia,39.9792,116.4214,CBS MoveON snapshot 2026-09-21
55,"University of Nottingham Ningbo, China",China,Ningbo,Asia,29.80772,121.538449,CBS MoveON snapshot 2026-09-21
56,Universidad De Los Andes,Colombia,Bogotá,South America,4.647302,-74.096268,CBS MoveON snapshot 2026-09-21
57,Universidad EAFIT,Colombia,Medellín,South America,6.25129,-75.575974,CBS MoveON snapshot 2026-09-21
58,American University in Cairo,Egypt,Cairo,Africa,30.0571,31.2272,CBS MoveON snapshot 2026-09-21
59,Estonian Business School,Estonia,Tallinn,Europe,59.432144,24.756622,CBS MoveON snapshot 2026-09-21
60,University of the Faroe Islands,Faroe Islands,Tórshavn,Europe,61.892635,-6.911806,CBS MoveON snapshot 2026-09-21
61,Hanken School of Economics,Finland,Helsinki,Europe,60.169879,24.938408,CBS MoveON snapshot 2026-09-21
62,Aalto University,Finland,Espoo,Europe,60.205284,24.65405,CBS MoveON snapshot 2026-09-21
63,Audencia Business School,France,Nantes,Europe,47.246879,-1.55372,CBS MoveON snapshot 2026-09-21
64,Ecole de Management de Lyon,France,Lyon,Europe,45.786587,4.764917,CBS MoveON snapshot 2026-09-21
65,EDHEC Business School,France,Lille,Europe,50.632778,3.045227,CBS MoveON snapshot 2026-09-21
66,EDHEC Business School,France,Nice,Europe,50.632778,3.045227,CBS MoveON snapshot 2026-09-21
67,ESSEC Business School,France,Cergy,Europe,49.032997,2.078922,CBS MoveON snapshot 2026-09-21
68,Grenoble Ecole de Management,France,Grenoble,Europe,45.190264,5.713202,CBS MoveON snapshot 2026-09-21
69,HEC Paris,France,Jouy-en-Josas,Europe,48.758113,2.169929,CBS MoveON snapshot 2026-09-21
70,IÉSEG School of Management,France,Lille / Paris,Europe,50.632777,3.046759,CBS MoveON snapshot 2026-09-21
71,INSEEC Grande Ecole,France,Paris,Europe,,,
72,ISC Paris School of Management,France,Paris,Europe,48.893043,2.302242,CBS MoveON snapshot 2026-09-21
73,Kedge Business School,France,Bordeaux,Europe,43.236942,5.437471,CBS MoveON snapshot 2026-09-21
